cryptocurrency,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,var_5,var_1,expected_shortfall_5,expected_shortfall_1,skewness,kurtosis,data_points
1INCH,-90.56966666666668,-28.148839640954048,91.10753322441892,-0.33091489335673796,-0.4904165057085834,-0.28580538528031757,-98.48953550453817,-8.306585041676808,-14.014673514306681,-12.396955636335722,-20.48073356823586,0.3784925911327055,6.955425635599616,1799
XRP,11239.001969796454,34.964494223701536,138.46053127462355,0.2380786345411281,0.4274553993730254,0.36794978211716045,-95.0251798561151,-8.314945495547322,-16.742656382883776,-14.579924344577657,-27.603795710491248,5.818508625564483,92.63242470170533,3975
AR,119.45071482317533,10.377314275230788,119.99879089738053,0.06981165570572143,0.12612951240585046,0.10742867574508032,-96.59724652899313,-9.842501629372299,-16.452417665601466,-13.999361812658373,-21.143605252778773,1.47667759051238,9.406978485506535,2005
NEO,-76.38817280453257,-11.235347258483962,94.67641886946589,-0.1397956050358438,-0.21479613160739458,-0.11437524191192698,-98.23233656752028,-8.369762118428103,-14.985052255795079,-12.740400179149178,-20.722871765538315,0.9817673609386403,11.041641687921041,3051
ETC,562.3293749999999,14.91963446362734,96.42357198912335,0.133988341202343,0.21589182089473422,0.16080543674510792,-92.78065944546636,-7.8860617194758635,-14.698999612960742,-12.315564818376789,-20.42501017984037,1.6725845864181166,15.559119850367507,3425
ENS,-13.62877887704218,-2.7875128839964347,88.39091102923194,-0.05416295440617357,-0.08928965101546757,-0.03436906352763725,-81.10529056908715,-7.592293138295606,-13.29296387685534,-11.022509285997302,-17.9779714773151,1.103091323006202,8.81948322708209,1305
CVX,-91.0438996001111,-34.9102362677865,102.70782245077226,-0.3593712278875111,-0.559479888557627,-0.3635112527587141,-96.03619145996198,-8.919113875279674,-15.887812565618114,-13.468952558985038,-21.299527509732847,1.1003518825491523,12.102023719322563,1415
SUPER,-23.69138407366036,-5.106308981135809,102.8607157175235,-0.06908671528838262,-0.11801395072587,-0.05544764466211877,-92.09244165829075,-8.11779163328681,-12.959142938407217,-11.813763888472527,-19.33268306855225,1.631760201565084,19.294226754325816,1299
ETH,90122.26666666666,57.38698195033927,88.19267917352074,0.6280224443727845,0.8947578426532964,0.6110530754867143,-93.91488931567777,-7.409034666877984,-14.87078632991711,-12.062467308986097,-20.257132908236144,0.4235275912560447,11.210008969322782,3780
AMP,-68.07686729514141,-14.191751853228318,108.59956237057682,-0.1490959217494526,-0.2731236581354493,-0.1437958033475987,-98.69378328741965,-8.104091681768717,-14.74040068958933,-12.45567962772088,-20.364972744247268,3.456475825839619,37.59401744607652,1879
XEC,-95.84619313304721,-40.681360176492134,80.94839822979998,-0.5272662722161142,-0.8273292830066293,-0.42306181105153595,-96.15937698412696,-6.737282895405068,-12.844145566098797,-10.73293124144116,-17.570213096777984,2.111452651712142,23.650005660486737,1534
GNO,-76.23049315916998,-22.177350349756463,63.67770160401657,-0.379683150313821,-0.5557728070104385,-0.26090304323506763,-85.00226779560857,-6.117631657257211,-11.051508117761355,-9.075353768549075,-14.388519398283536,0.2856229599574373,4.317599221598442,1443
TRAC,42.65763295997491,7.078888114254744,312.0492461499279,0.016275918551056298,0.043131282220099494,0.07973916174384593,-88.77555218093417,-8.825696478168604,-23.432319079281218,-19.30826659007484,-48.129320571871844,12.993915813932423,235.1545321370794,1308
FET,21.86589265974237,3.8803649362759263,102.81857069378526,0.018288183968983948,0.03177859334906337,0.0412686196461497,-94.02701058449281,-8.392885496974134,-14.679064966581763,-12.465663215968096,-19.448327182702492,1.167179474229014,9.630034120158781,1308
WEMIX,-81.20734638202052,-27.517526581830808,135.8243898671649,-0.21732125291119433,-0.30160708339005743,-0.28619904146857367,-96.14821363702015,-9.136621686121932,-23.412952367752663,-18.448842393365737,-37.42836088319658,0.8679726677259231,17.515483332846372,1308
ALGO,-91.86057059253841,-23.523935348433266,93.72956442616372,-0.2723146693863063,-0.4200482912549477,-0.24459098085305284,-96.17662624512778,-8.553874874833713,-14.956029924208982,-12.492837061847291,-19.890232546740116,0.8236314095726515,11.00450797166112,2356
DCR,14475.360738255034,39.73902701920402,303.1962186810315,0.12447063879416727,0.5145124543783666,0.4141612245462143,-95.9506217964877,-8.806026798150313,-15.232698318714194,-13.800112907113926,-23.696556957971058,40.64876346025706,2037.0807074434988,3751
AXS,1323.241946538725,43.16332114684178,118.2450129695016,0.34811887717800705,0.6301141597149071,0.4338105952080848,-99.49807963112967,-9.517261201305388,-15.791467388053752,-13.516339736370345,-21.137157586392195,1.9920060865864462,13.459451608763441,1864
SUN,99.34698555502412,14.214952764684408,76.41276807221128,0.15985486552641417,0.27766691798251897,0.24567498204368074,-57.86080717879937,-5.549812578016218,-10.638828924680526,-8.651862446110043,-14.563503789932744,4.108643140879262,42.91083457928021,1307
FLOW,-99.17342142857143,-49.284162963485365,91.57744186109461,-0.5600086868693448,-0.8312231056689584,-0.493541964797738,-99.85810017934922,-8.64338624345554,-15.686408323313664,-12.99016836821377,-20.539900243735737,0.6113991076423587,7.728639252931611,1779
FIL,-94.10669014084507,-22.14042855021232,100.44170111079049,-0.24034268917433643,-0.4030462315582339,-0.2227716930984833,-99.38618431393095,-8.038255508194283,-13.878064808767606,-12.318513313914021,-20.218228208878166,3.3399642677389445,45.604291278643686,2850
GRT,-87.39583810614738,-24.920015522035264,110.18427610192288,-0.24431812300635036,-0.4057142848894445,-0.2527390821456869,-98.59977060322854,-8.864114406325998,-15.726090662855619,-13.515622701693896,-22.774519766536354,2.119256876585834,24.173023184257666,1820
USDD,-1.129165712021729,-0.21837730946520084,6.10984019092415,-0.3630827059536655,-0.40750190499796984,-0.04225540685889114,-5.168032346593088,-0.48023314821702073,-1.3321957204242152,-1.0187549783543304,-1.9226877579319352,-0.7352829710774925,14.877747021353953,1308
